entity,population,region,subregion
Afghanistan,27657145,Asia,Southern Asia
Albania,2886026,Europe,Southern Europe
Algeria,40400000,Africa,Northern Africa
Andorra,78014,Europe,Southern Europe
Angola,25868000,Africa,Middle Africa
Antigua and Barbuda,86295,Americas,Caribbean
Argentina,43590400,Americas,South America
Armenia,2994400,Asia,Western Asia
Australian Capital Territory,426709,Oceania,Australia and New Zealand
New South Wales,8089526,Oceania,Australia and New Zealand
Northern Territory,245869,Oceania,Australia and New Zealand
Queensland,5095100,Oceania,Australia and New Zealand
South Australia,1751693,Oceania,Australia and New Zealand
Tasmania,534281,Oceania,Australia and New Zealand
Victoria,6594804,Oceania,Australia and New Zealand
Western Australia,2621680,Oceania,Australia and New Zealand
Austria,8725931,Europe,Western Europe
Azerbaijan,9730500,Asia,Western Asia
Bahamas,378040,Americas,Caribbean
Bahrain,1404900,Asia,Western Asia
Bangladesh,161006790,Asia,Southern Asia
Barbados,285000,Americas,Caribbean
Belarus,9498700,Europe,Eastern Europe
Belgium,11319511,Europe,Western Europe
Belize,370300,Americas,Central America
Benin,10653654,Africa,Western Africa
Bhutan,775620,Asia,Southern Asia
Bolivia,10985059,Americas,South America
Bosnia and Herzegovina,3531159,Europe,Southern Europe
Botswana,2141206,Africa,Southern Africa
Brazil,206135893,Americas,South America
Brunei,411900,Asia,South-Eastern Asia
Bulgaria,7153784,Europe,Eastern Europe
Burkina Faso,19034397,Africa,Western Africa
Burma,51419420,Asia,South-Eastern Asia
Burundi,10114505,Africa,Eastern Africa
Cabo Verde,531239,Africa,Western Africa
Cambodia,15626444,Asia,South-Eastern Asia
Cameroon,22709892,Africa,Middle Africa
Alberta,4413146,Americas,Northern America
British Columbia,5110917,Americas,Northern America
Manitoba,1377517,Americas,Northern America
New Brunswick,779993,Americas,Northern America
Newfoundland and Labrador,521365,Americas,Northern America
Northwest Territories,44826,,
Nova Scotia,977457,Americas,Northern America
Ontario,14711827,Americas,Northern America
Prince Edward Island,158158,Americas,Northern America
Quebec,8537674,Americas,Northern America
Saskatchewan,1181666,Americas,Northern America
Yukon,35874,,
Central African Republic,4998000,Africa,Middle Africa
Chad,14497000,Africa,Middle Africa
Chile,18191900,Americas,South America
Anhui,62550000,Asia,Eastern Asia
Beijing,21710000,Asia,Eastern Asia
Chongqing,30750000,Asia,Eastern Asia
Fujian,39110000,Asia,Eastern Asia
Gansu,26260000,Asia,Eastern Asia
Guangdong,111690000,Asia,Eastern Asia
Guangxi,48850000,Asia,Eastern Asia
Guizhou,35550000,Asia,Eastern Asia
Hainan,9170000,Asia,Eastern Asia
Hebei,75200000,Asia,Eastern Asia
Heilongjiang,37890000,Asia,Eastern Asia
Henan,95590000,Asia,Eastern Asia
Hong Kong,7324300,Asia,Eastern Asia
Hubei,59020000,Asia,Eastern Asia
Hunan,68600000,Asia,Eastern Asia
Inner Mongolia,25290000,Asia,Eastern Asia
Jiangsu,80290000,Asia,Eastern Asia
Jiangxi,46220000,Asia,Eastern Asia
Jilin,27170000,Asia,Eastern Asia
Liaoning,43690000,Asia,Eastern Asia
Macau,649100,Asia,Eastern Asia
Ningxia,6820000,Asia,Eastern Asia
Qinghai,5980000,Asia,Eastern Asia
Shaanxi,38350000,Asia,Eastern Asia
Shandong,100060000,Asia,Eastern Asia
Shanghai,24180000,Asia,Eastern Asia
Shanxi,36820000,Asia,Eastern Asia
Sichuan,83020000,Asia,Eastern Asia
Tianjin,15570000,Asia,Eastern Asia
Tibet,3370000,Asia,Eastern Asia
Xinjiang,24450000,Asia,Eastern Asia
Yunnan,48010000,Asia,Eastern Asia
Zhejiang,56570000,Asia,Eastern Asia
Colombia,48759958,Americas,South America
Congo (Brazzaville),4741000,Africa,Middle Africa
Congo (Kinshasa),85026000,Africa,Middle Africa
Costa Rica,4890379,Americas,Central America
Cote d'Ivoire,22671331,Africa,Western Africa
Croatia,4190669,Europe,Southern Europe
